,Name,Age,Gender,Department,Email,Phone,Address,Salary
0,John Doe,32.0,M,operations,john.doe@gmail.com,91-12345678,"123 Main St, Bangalore, Karnataka, India",4553
1,Jane Smith,28.0,F,IT,jane.smith@hotmail.com,91-98765432,"456 Park Ave, Mumbai, Maharashtra, India",31169
2,Amit Patel,27.0,M,IT,amit.patel@gmail.com,91-87654321,"789 3rd St, Kolkata, West Bengal, India",11116
3,Priya Sharma,33.0,F,sales,priya.sharma@yahoo.com,91-55555555,"12 4th St, New Delhi, Delhi, India",33457
4,Jane Doe,29.0,F,sales,jane.doe@gmail.com,,Adress not Available,21918
5,Rakesh Kumar,34.0,M,data science,rakesh.kumar@yahoo.com,,"345 5th St, Jaipur, Rajasthan, India",33418
6,Divya Singh,25.0,F,IT,support@dataisgood.com,91-99999999,"678 6th St, Chennai, Tamil Nadu, India",45828
7,Aman Verma,31.0,M,sales,aman.verma@gmail.com,91-88888888,Adress not Available,45450
8,Neha Gupta,27.0,F,sales,neha.gupta@hotmail.com,91-77777777,"901 7th St, Hyderabad, Telangana, India",49938
9,Naveen Sharma,35.0,M,operations,naveen.sharma@gmail.com,,"234 8th St, Pune, Maharashtra, India",9818
10,Vinita Kapoor,29.5,F,IT,vinita.kapoor@yahoo.com,91-66666666,"567 9th St, Ahmedabad, Gujarat, India",41836
11,Rajeev Kumar,29.0,M,IT,rajeev.kumar@hotmail.com,91-55555555,"789 10th St, Bangalore, Karnataka, India",11901
13,Swati Singh,28.0,F,hr,swati.singh@gmail.com,,"654 12th St, Kolkata, West Bengal, India",21978
14,Kavita Sharma,30.0,F,finance/accounts,kavita.sharma@yahoo.com,91-88888888,Adress not Available,49400
15,Manish Patel,32.0,M,mangement,manish.patel@hotmail.com,91-12345678,"987 13th St, New Delhi, Delhi, India",28476
16,Priyanka Jain,26.0,F,data science,priyanka.jain@yahoo.com,91-87654321,Adress not Available,40088
17,Rohit Sharma,28.0,M,data science,rohit.sharma@gmail.com,91-98765432,"654 14th St, Jaipur, Rajasthan, India",2949
18,Deepika Singh,30.0,F,data science,deepika.singh@yahoo.com,91-55555555,"321 15th St, Chennai, Tamil Nadu, India",3337
19,Vikas Joshi,32.0,M,finance/accounts,vikas.joshi@gmail.com,91-99999999,Adress not Available,2857
20,Nisha Verma,26.0,F,mangement,nisha.verma@hotmail.com,,"789 16th St, Hyderabad, Telangana, India",35969
21,Manoj Kumar,33.0,M,data science,manoj.kumar@yahoo.com,91-88888888,"901 17th St, Pune, Maharashtra, India",49681
23,Sanjay Gupta,29.0,M,operations,sanjay.gupta@gmail.com,91-66666666,Adress not Available,15853
24,Anjali Sharma,29.5,F,IT,anjali.sharma@yahoo.com,91-55555555,"567 19th St, Bangalore, Karnataka, India",6926
25,Akash Patel,31.0,M,finance/accounts,akash.patel@hotmail.com,,"789 20th St, Mumbai, Maharashtra, India",45678
26,Preeti Singh,28.0,F,mangement,preeti.singh@gmail.com,91-77777777,"321 21st St, Kolkata, West Bengal, India",8022
27,Ravi Kumar,34.0,M,data science,ravi.kumar@gmail.com,91-88888888,"901 22nd St, Patna, Bihar, India",3484
28,Swati Mishra,26.0,F,IT,swati.mishra@yahoo.com,91-77777777,"234 23rd St, Bhopal, Madhya Pradesh, India",11342
29,Ankit Singh,29.0,M,sales,ankit.singh@hotmail.com,,"567 24th St, Lucknow, Uttar Pradesh, India",40940
